branch_label,branch_median_age_Ma,substitution_rates_log,branch_length_Ma
Eulacestoma_nigropectus,11.716265,0.00150796209747177,23.43253
V502,23.25247,0.00421695840864719,0.36012
V503,21.98862,0.00192751517480893,2.16758
Aleadryas_rufinucha,10.452415,0.00153371619717527,20.90483
Falcunculus_frontatus,10.452415,0.00161404235804123,20.90483
V506,22.90195,0.00689085072742027,0.34092
V507,22.187665,0.00239156701652572,1.08765
Pachycephala_philippinensis,10.82192,0.00146392163462375,21.64384
Oriolus_oriolus,10.82192,0.00164360905396754,21.64384
V510,22.356485,0.00285770082222226,0.75001
Oreocharis_arfaki,10.99074,0.00193530914848381,21.98148
V512,20.264555,0.00189417752998302,3.43385
Pteruthius_melanotis,9.273815,0.00208770833387587,18.54763
V514,16.606825,0.00208433144866693,3.88161
Erpornis_zantholeuca,7.33301,0.00248571468731754,14.66602
Vireo_altiloquus,7.33301,0.00234878852163079,14.66602
V517,28.657005,0.00215242437319689,1.68939
Cnemophilus_loriae,13.906155,0.00157037156863491,27.81231
V519,27.55791,0.00439650090740039,0.5088
Melanocharis_versteri,13.651755,0.00160618258187792,27.30351
V521,26.906945,0.00328079068733952,0.79313
V522,25.07607,0.00150764668525901,2.86862
