edge	TN	FP	FN	TP	p	r	type	method	change	X11	SUNIT	SIZE	NGEN	CLADE_SIZE	HEIGHT_NGEN	HEIGHT_EDGE	DEPTH_NGEN	DEPTH_EDGE	TOTAL_NGEN	CU	True	recall	precision	f1	acc	fpr	fnr	expanded	ilr	sc	cu_bin	p_bin
N113	1364	61	74	1	0.05	1	recombination_rate_change	PresentBP+HMM	10x increase	1096514.63414634	0.011829	150768.66391738	899141.9999999999	2	3060754	2	7137942	11	5222366	2.98185968038001	62	0.0133333333333333	0.0161290322580645	0.0145985401459854	0.91	0.0428070175438596	0.986666666666667	FALSE	FALSE	FALSE	(1,Inf]	(0,0.05]
N113	1408	62	30	0	0.02	1	recombination_rate_change	PresentBP+HMM	10x increase	1096514.63414634	0.011829	150768.66391738	899141.9999999999	2	3060754	2	7137942	11	5222366	2.98185968038001	62	0	0	0	0.938666666666667	0.0421768707482993	1	FALSE	FALSE	FALSE	(1,Inf]	(0,0.05]
N113	1467	3	3	27	0.02	1	recombination_rate_change	TopologyOrder+HMM	10x increase	1096514.63414634	0.011829	150768.66391738	899141.9999999999	2	3060754	2	7137942	11	5222366	2.98185968038001	30	0.9	0.9	0.9	0.996	0.00204081632653061	0.1	TRUE	FALSE	FALSE	(1,Inf]	(0,0.05]
N113	1470	0	3	27	0.02	1	recombination_rate_change	BarycentricBins(6)+HMM	10x increase	1096514.63414634	0.011829	150768.66391738	899141.9999999999	2	3060754	2	7137942	11	5222366	2.98185968038001	27	0.9	1	0.947368421052632	0.998	0	0.1	TRUE	FALSE	TRUE	(1,Inf]	(0,0.05]
N113	1350	0	2	148	0.1	1	recombination_rate_change	BarycentricBins(6)+HMM	10x increase	1096514.63414634	0.011829	150768.66391738	899141.9999999999	2	3060754	2	7137942	11	5222366	2.98185968038001	148	0.986666666666667	1	0.993288590604027	0.998666666666667	0	0.0133333333333333	TRUE	FALSE	TRUE	(1,Inf]	(0.05,0.15]
N113	1200	0	3	297	0.2	1	recombination_rate_change	BarycentricBins(6)+HMM	10x increase	1096514.63414634	0.011829	150768.66391738	899141.9999999999	2	3060754	2	7137942	11	5222366	2.98185968038001	297	0.99	1	0.994974874371859	0.998	0	0.01	TRUE	FALSE	TRUE	(1,Inf]	(0.15,0.25]
N113	1251	24	224	1	0.15	1	recombination_rate_change	BestTopology+HMM	10x increase	1096514.63414634	0.011829	150768.66391738	899141.9999999999	2	3060754	2	7137942	11	5222366	2.98185968038001	25	0.00444444444444444	0.04	0.008	0.834666666666667	0.0188235294117647	0.995555555555556	FALSE	FALSE	FALSE	(1,Inf]	(0.05,0.15]
N113	1294	56	149	1	0.1	1	recombination_rate_change	GaussianQQS+HMM	10x increase	1096514.63414634	0.011829	150768.66391738	899141.9999999999	2	3060754	2	7137942	11	5222366	2.98185968038001	57	0.00666666666666667	0.0175438596491228	0.00966183574879227	0.863333333333333	0.0414814814814815	0.993333333333333	FALSE	FALSE	FALSE	(1,Inf]	(0.05,0.15]
N113	1148	52	299	1	0.2	1	recombination_rate_change	PresentBP+HMM	10x increase	1096514.63414634	0.011829	150768.66391738	899141.9999999999	2	3060754	2	7137942	11	5222366	2.98185968038001	53	0.00333333333333333	0.0188679245283019	0.0056657223796034	0.766	0.0433333333333333	0.996666666666667	FALSE	FALSE	FALSE	(1,Inf]	(0.15,0.25]
N113	1200	0	3	297	0.2	1	recombination_rate_change	TopologyOrder+HMM	10x increase	1096514.63414634	0.011829	150768.66391738	899141.9999999999	2	3060754	2	7137942	11	5222366	2.98185968038001	297	0.99	1	0.994974874371859	0.998	0	0.01	TRUE	FALSE	FALSE	(1,Inf]	(0.15,0.25]
